zone,station_id,name,latitude,longitude,address,neighborhood,postal_code,capacity,bikes_available,bikes_unavailable,docks_available,docks_unavailable
Guadalajara,279,(GDL-206) C. Suiza / Av. Enrique Díaz de león,20.66231,-103.36011,(GDL-206) C. Suiza / Av. Enrique Díaz de león,Moderna,44190,15,10,0,5,0
Guadalajara,280,(GDL-207) C. Lázaro Pérez / C. Escorza,20.66563,-103.35802,(GDL-207) C. Lázaro Pérez / C. Escorza,Moderna,44190,15,14,0,1,0
Guadalajara,281,(GDL-208) Av. España / Av. Federalismo,20.66081,-103.35704,(GDL-208) Av. España / Av. Federalismo,Moderna,44190,31,13,3,15,0
Guadalajara,282,(GDL-209) Calz. del Campesino / Calz. Indepen,20.6605183,-103.3503245,(GDL-209) Calz. del Campesino / Calz. Independencia*,Moderna,44190,19,11,1,7,0
Guadalajara,283,(GDL-210) Av. Washington / Calz. Independenci,20.65775,-103.35132,(GDL-210) Av. Washington / Calz. Independencia*,Moderna,44190,31,17,2,12,0
Guadalajara,284,(GDL-211) Av. Washington / C. Rusia,20.65883,-103.35468,(GDL-211) Av. Washington / C. Rusia,Moderna,44190,15,10,1,4,0
Guadalajara,285,(GDL-212) C. Nicolás Romero / C. Jaime Nunó,20.70047,-103.36158,(GDL-212) C. Nicolás Romero / C. Jaime Nunó*,Lomas Del Country,44610,15,7,1,7,0
Zapopan,286,(ZPN-023) Blvrd. de la Espuela / C. Silvano B,20.73231,-103.38763,(ZPN-023) Blvrd. de la Espuela / C. Silvano Barba*,Zapopan Centro,45100,15,13,2,0,0
Zapopan,287,(ZPN-024) C. López Cotilla / C. del Estribo,20.73076,-103.38861,(ZPN-024) C. López Cotilla / C. del Estribo,Zapopan Centro,45100,15,6,0,9,0
Zapopan,288,(ZPN-048) Av. J. Parres Arias / Prol. López C,20.72958,-103.38859,(ZPN-048) Av. J. Parres Arias / Prol. López Cotilla*,Zapopan Centro,45100,31,3,0,28,0
Zapopan,289,(ZPN-049) Ávila Camacho/ Lábaro Patrio,20.7178,-103.38338,(ZPN-049) Ávila Camacho/ Lábaro Patrio,Tepeyac,45150,15,13,0,2,0
Zapopan,290,(ZPN-050) C. el Mediero / Prol. Laureles,20.73432,-103.38427,(ZPN-050) C. el Mediero / Prol. Laureles*,La Hoja Verde,45150,15,8,3,4,1
Zapopan,291,(ZPN-051) Av. Periférico G. Morín / Av. J. Pa,20.73837,-103.38057,(ZPN-051) Av. Periférico G. Morín / Av. J. Parres Arias,San Miguel de La Cañada,45150,31,0,0,31,0
Zapopan,292,(ZPN-052) C. del Pial / C. del Vigía,20.73245,-103.39291,(ZPN-052) C. del Pial / C. del Vigía*,El Vigía,45140,15,0,0,15,0
